Noakhali_text,Formal_text
বিয়ালে আম্মু আর লাই শসার সুপ রান্না কইচ্চে,"বিকালে আম্মু আমার জন্য শসার সুপ রান্না করেছে 
"
আর স্কুলে কোনো খেলাত মাঠ নাই,আমার স্কুলে কোনো খেলার মাঠ নেই
আন্ডা বেজ্ঞুন একলোগে খেলা দেখসিলাম,আমারা সবাই একসাথে খেলা দেখছিলাম
বিশ্বকাপ ক্রিকেট খেলা আইজ্জাত্তুন শুরু,বিশ্বকাপ ক্রিকেট খেলা আজকে থেকে শুরু
আইজ্জা ইংল্যান্ড বিশ্বকাপ ক্রিকেট খেলায় জিতি গেসে,আজকে ইংল্যান্ড বিশ্বকাপ ক্রিকেট খেলায়  জিতে গেছে
চল আন্ডা বেজ্ঞুন গান গাই,চল আমরা সবাই গান গাই
তুই কি আরে এক গ্লাস হানি আনি দিতা হাইরবানি?,তুমি কি আমাকে এক গ্লাস পানি এনে দিতে পারবে ?
আই হাইত্তান্নো হানি দিতাম,আমি পারবো না পানি দিতে
তোওয়ার ভাই হড়ালেখাত অনেক মেধাবি,তোমার ভাই পড়ালেখাতে অনেক মেধাবি
আইচ্ছা বলো সাই বাংলাদেশে কোগা জেলা?,আচ্ছা বলো দেখি বাংলাদেশে কয়টি জেলা?
সাম্নের মুই যাই মাইয়া ইয়া অনেক হাসিবো,সামনের দিকে যেয়ে মেয়েটি অনেক হাসবে
